frame.number,frame.time_epoch,frame.len,_ws.col.protocol,ipv6.src,ipv6.dst,wpan.fcf,wpan.seq_no,wpan.dst_pan,wpan.src64,wpan.dst64,6lowpan.src,6lowpan.dst,6lowpan.iphc.tf,6lowpan.iphc.nh,6lowpan.iphc.hlim,6lowpan.iphc.sam,6lowpan.iphc.dam
"1","1774872142.900845000","55","RF4CE GDP",,,"0xc841","17","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"2","1774872143.044406000","56","ICMPv6","::","ff02::1:ff24:ed2e","0xc841","18","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"::","ff02::1:ff24:ed2e","0x0003","False","0x0003","0x0000","0x0001"
"3","1774872143.839739000","55","ICMPv6","::","ff02::16","0xc841","19","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"::","ff02::16","0x0003","False","0x0001","0x0000","0x0003"
"4","1774872144.080806000","55","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::16","0xc841","20","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::16","0x0003","False","0x0001","0x0003","0x0003"
"5","1774872144.084232000","43","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::2","0xc841","21","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::2","0x0003","False","0x0003","0x0003","0x0003"
"6","1774872144.108810000","55","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::16","0xc841","22","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::16","0x0003","False","0x0001","0x0003","0x0003"
"7","1774872144.386100000","120","6LoWPAN",,,"0xc841","23","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0x0001","True","0x0003","0x0003","0x0003"
"8","1774872144.391044000","124","6LoWPAN",,,"0xc841","24","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"9","1774872144.396547000","66","MDNS","fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0xc841","25","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"10","1774872144.449417000","55","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::16","0xc841","26","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::16","0x0003","False","0x0001","0x0003","0x0003"
"11","1774872144.453284000","120","6LoWPAN",,,"0xc841","27","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0x0001","True","0x0003","0x0003","0x0003"
"12","1774872144.459045000","50","MDNS","fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0xc841","28","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"13","1774872144.636289000","120","6LoWPAN",,,"0xc841","29","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0x0001","True","0x0003","0x0003","0x0003"
"14","1774872144.642173000","124","6LoWPAN",,,"0xc841","30","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"15","1774872144.647051000","66","MDNS","fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0xc841","31","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"16","1774872144.884938000","120","6LoWPAN",,,"0xc841","32","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0x0001","True","0x0003","0x0003","0x0003"
"17","1774872144.891463000","124","6LoWPAN",,,"0xc841","33","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"18","1774872144.898279000","66","MDNS","fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0xc841","34","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
